"fed_2012","licences","ratio","age","sex","federation"
113,24,2.99962504686914,"0_4","f","Fédération Française de gymnastique"
113,0,0,"75_99","h","Fédération Française de gymnastique"
113,196,27.2373540856031,"5_9","f","Fédération Française de gymnastique"
113,62,1.09024407399592,"30_44","all","Fédération Française de gymnastique"
115,121,3.88056829479491,"20_29","f","Fédération Française de handball"
115,2,0.236127508854782,"0_4","h","Fédération Française de handball"
115,221,30.5755395683453,"5_9","h","Fédération Française de handball"
115,71,2.5786300573836,"30_44","f","Fédération Française de handball"
115,401,57.8476630121177,"10_14","h","Fédération Française de handball"
115,196,19.3408328399447,"15_19","h","Fédération Française de handball"
115,1843,6.46759709291512,"all","all","Fédération Française de handball"
115,1284,9.52529321434135,"all","h","Fédération Française de handball"
115,4,0.242851071580353,"0_4","all","Fédération Française de handball"
115,76,6.71556066095255,"15_19","f","Fédération Française de handball"
115,240,7.90045427612088,"20_29","h","Fédération Française de handball"
115,16,0.617283950617284,"45_59","f","Fédération Française de handball"
115,73,10.1445247359644,"5_9","f","Fédération Française de handball"
115,295,20.4520244037715,"5_9","all","Fédération Française de handball"
115,151,5.14761028158451,"30_44","h","Fédération Française de handball"
115,2,0.249968753905762,"0_4","f","Fédération Française de handball"
115,197,28.8138072253913,"10_14","f","Fédération Française de handball"
115,598,43.4340499709471,"10_14","all","Fédération Française de handball"
115,0,0,"75_99","f","Fédération Française de handball"
115,56,2.47634208897143,"45_59","h","Fédération Française de handball"
115,4,0.236406619385343,"60_74","f","Fédération Française de handball"
115,560,3.72935535428876,"all","f","Fédération Française de handball"
115,272,12.6800615355927,"15_19","all","Fédération Française de handball"
115,0,0,"75_99","all","Fédération Française de handball"
115,17,1.38031828515752,"60_74","h","Fédération Française de handball"
115,361,5.86429279228058,"20_29","all","Fédération Française de handball"
115,0,0,"75_99","h","Fédération Française de handball"
115,222,3.90377716817894,"30_44","all","Fédération Française de handball"
115,71,1.46289199324185,"45_59","all","Fédération Française de handball"
115,21,0.718317085684967,"60_74","all","Fédération Française de handball"
